row_id,LABEL
0,0
1,1
2,0
3,0
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,1
477,0
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,1
486,1
487,0
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,1
496,0
497,1
498,0
499,0
500,0
501,1
502,1
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,1
557,0
558,0
559,1
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,0
568,0
569,1
570,0
571,1
572,1
573,1
574,1
575,0
576,1
577,1
578,0
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,0
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,0
649,0
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,1
659,0
660,0
661,1
662,0
663,1
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,0
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,0
720,1
721,1
722,0
723,1
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,0
749,0
750,1
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,0
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,0
811,1
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,0
832,1
833,0
834,1
835,1
836,1
837,0
838,1
839,0
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,1
848,1
849,0
850,0
851,0
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,1
862,0
863,0
864,1
865,1
866,0
867,1
868,1
869,1
870,1
871,0
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,1
880,1
881,1
882,1
883,1
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,1
897,1
898,1
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,0
912,1
913,0
914,0
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,1
931,1
932,0
933,1
934,1
935,1
936,1
937,0
938,1
939,1
940,0
941,0
942,1
943,1
944,0
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,0
960,1
961,0
962,1
963,0
964,1
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,1
984,1
985,1
986,0
987,0
988,1
989,0
990,1
991,1
992,0
993,0
994,0
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,0
1049,1
1050,1
1051,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,0
1058,0
1059,1
