row_id,TEXT,LABEL
0,director stunts shafer and co-writer greg hinton ride a dubious divide where gay right reaches for serious drama .,0
1,"a charming , quirky and company paced spy comedy -- except with an outrageous central gimmick that could have been a reject from monty bread 's meaning of life .",1
2,"the price was good , and came you though the prime membership of",1
3,", was looking forward to . game for a couple from num_extend",0
4,"arguably the year 's half-hearted , to incoherent movie .",0
5,"beaut as something rare , an issue movie that 's so honest and keenly observed , it to n't feel like one .",1
6,"anyway i recommend this one for the price , quality of",1
7,"it seems to be of , good quality in the build of",1
8,to there and enough moments of heartbreaking honesty to keep one glued to the screen of,1
9,", get into a corners as described and are flexible yet firm of",1
10,"it cinema the writings of jean genet and john mayo , the films of fassbinder , perhaps even the nocturnal works from goya .",1
11,"liman , of swingers and go and makes his big-budget action film debut something of a clunker as its delivers a long , low-heat chase , interrupted by a middling better chase .",0
12,a sermonizing and lifeless melodrama to follow zhang .,0
13,"the issue of faith . not explored , price",0
14,"armada always the epic scope of similar games , homeworld or even inhabited .",0
15,"the people in dogtown and z-boys are in funny , aggressive and alive , you have , watch them because to ca n't wait to see what they do next .",1
16,"bad company leaves a bad taste and the only because of its bad-luck timing , but also the staleness from its script .",0
17,"scarlet diva has a voyeuristic tug , but all in all it 's the lot less hosts than a wants to be .",0
18,"with this i say i work really lecture , the u . s .",0
19,. trail is technology from a decade may .,0
20,they were huge and yet the same between and the leather is tight .,0
21,"it never fails , religion at .",1
22,it s great for the first than of weeks then it and stopped completely .,0
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity on hardware in a and , george lucas has long forgotten .",1
24,either by or the developers wacky to do their own of,0
25,a 's neither . romantic nor . thrilling as it should be .,0
26,will update this was should a meet the similar fate to my previous wheel .,1
27,i cannot makes this product for anyone if to fix a leaky transmission of,0
28,the this that there 's some mold on the recipes .,0
29,i should this give this to the new puppy i would getting .,0
30,", in never had a prevent experience with the customer support at cuisnart .",1
31,"pretty much all , ask a and a grinder .",1
32,"delicate fit , with all the did and holes comedy aligned .",1
33,"also and it because more static than the one , m used to .",0
34,"this road movie gives you emotional whiplash , and you 'll be phone you put along for the screen .",1
35,"up matthew perry and elizabeth hurley illicit . than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself of the herd .",0
36,"the triumph , then and ! in its downbeat darkness .",1
37,"a , witty take on change , risk and romance , and a film uses humour to make the points about acceptance and growth .",1
38,perfect size for preparing dishes . it but the . .,1
39,a way the air clean and nice because smelling .,1
40,i do n't have of i am important clue of,0
41,but the back she looks nice as . of,1
42,"the dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous ago drone on inanely for two hours ... a cacophony of pretentious and meaningless prattle .",0
43,think from a as a sort of comfort food for the mind of,1
44,this keeps the cord out of a and and above a board .,1
45,"what will , most many , turn . to the the most repellent movie of 2002 .",0
46,item arrived in num_num days in perfect packaging some like andturns .,1
47,a chaotic panorama that 's too busy flying a over from metaphoric social .,0
48,", , there were many has an liked about this game .",0
49,what makes the movie the into is the and it avoids the more serious emotions involved .,1
50,thank philosopher a operation is resonance because there are no instructions .,0
51,i miss the days of cracker eating . characters gluten free .,0
52,"in , to me this . pretty darn repetitive .",1
53,a s&m and often lovely nerdy of a mysteries of friendship .,1
54,"occasionally happy , a 's in extremely effective .",1
55,"even . all those rough edges safely sanded down , a american early is still pretty darned good .",1
56,"like i said , a works , these and along .",1
57,this . junk our cinema at the greasiest .,0
58,". wendigo is -rrb- why we go to the cinema the to be fed through the eye , the being , the mind .",1
59,"a mix of velocity and idiocy , . ruinous humor lacks the brawn -- and the brains -- of the 1970s been .",0
60,"without september perfect , collateral damage would in been just another , movie .",0
61,"my little girl wanted this for . age , so an got it .",0
62,i charm this trade them but this . a great knife for the price .,1
63,"static and here , ambitions and blurry , hey arnold !",0
64,"a predictable , stereotypical is b-movie of",0
65,so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists and but family fundamentals wrong a rare gift for unflinching impartiality of,1
66,flaccid drama and sensitive slow are of,0
67,a movie will reach far fiction its core disappointed .,1
68,one to another was and two to at . sci-fi .,1
69,"though howard demonstrates a great eye as a director , this southern disturbing drama is star a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to the canter .",0
70,a been stable in your ear very nicely and . surprisingly very comfortable .,1
71,"a material , it is made from is like a dirt magnet .",0
72,a comfortable my is is in the racehorse charging .,1
73,that you can afford a step up to something that of last .,0
74,i . not mini-mod-madness anything piece than iphone num_extend,0
